,region,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,isСomplete,house_material,balcony,passenger_elevator,is_apartments,is_auction,locate,is_metro,m_minute,m_type
0,msk,66970000,160.0,25.0,119.0,3,3,9,1,brick,0,1,0,1,Евро,1,10,walk
1,msk,378820000,157.4,41.1,50.7,3,3,5,0,monolith,0,1,0,0,Евро,1,10,walk
2,msk,110500000,110.5,15.0,61.0,3,2,6,1,brick,0,1,0,1,Евро,1,10,walk
4,msk,480765635,294.6,58.92000000000001,147.3,4,80,85,1,monolith,0,4,1,1,Евро,1,10,walk
5,msk,307420600,194.57,86.2,103.4,3,7,9,0,monolithBrick,0,0,1,0,Евро,1,10,walk
6,msk,125000000,234.8,22.5,128.5,6,3,9,1,monolith,1,2,0,1,Евро,1,10,walk
7,msk,109213650,127.0,25.400000000000002,63.5,3,3,7,1,monolithBrick,0,4,1,0,Евро,1,10,walk
8,msk,158220000,87.9,17.580000000000002,43.95,2,4,9,1,monolithBrick,0,0,0,1,Евро,1,10,walk
9,msk,750000000,251.8,50.36000000000001,125.9,4,4,4,1,monolith,0,1,0,0,Евро,1,10,walk
10,msk,290000000,200.9,17.0,110.0,4,4,7,1,monolithBrick,0,1,0,1,Евро,1,10,walk
11,msk,85974000,62.3,23.7,31.15,2,8,9,1,monolith,0,0,1,0,Евро,1,10,walk
12,msk,195840000,108.8,21.76,54.4,3,4,9,1,monolithBrick,0,0,0,1,Евро,1,10,walk
13,msk,156750000,85.6,15.5,34.6,2,2,14,0,monolith,1,1,0,0,Евро,1,10,walk
14,msk,125000000,135.3,27.060000000000002,67.65,3,37,37,1,monolith,0,0,0,1,Евро,1,10,walk
15,msk,52569000,49.8,9.96,27.9,2,9,17,0,monolith,0,1,0,0,Евро,1,10,walk
16,msk,99000000,90.4,14.0,39.0,2,5,12,0,monolithBrick,0,0,0,1,Евро,1,10,walk
17,msk,48858726,51.2,10.240000000000002,30.9,2,28,34,1,monolith,0,1,1,0,Евро,1,10,walk
18,msk,66462500,53.17,32.4,15.8,1,2,9,0,monolithBrick,0,0,1,0,Евро,1,10,walk
19,msk,750000000,298.93,20.0,149.465,6,4,12,1,monolithBrick,1,1,0,1,Евро,1,10,walk
20,msk,103787040,110.6,34.6,55.3,2,5,21,1,monolith,0,0,0,0,Евро,1,10,walk
21,msk,65920000,82.4,29.2,26.3,2,3,8,1,monolithBrick,0,0,1,1,Евро,1,10,walk
22,msk,456050000,204.0,38.4,82.6,3,3,6,0,monolith,3,1,0,0,Евро,1,10,walk
23,msk,94362500,75.49,26.0,44.5,2,2,9,0,monolithBrick,0,0,1,0,Евро,1,10,walk
24,msk,400000000,201.6,40.32,100.8,4,1,7,1,monolithBrick,0,0,0,1,Евро,0,0,NO
26,msk,243250000,138.57,40.5,69.285,4,19,21,1,monolith,0,0,0,1,Евро,1,10,walk
27,msk,531760000,200.7,67.2,57.7,3,3,3,0,monolith,0,1,0,0,Евро,1,10,walk
28,msk,189060000,162.8,32.56,81.4,5,9,21,1,monolith,0,0,0,1,Евро,1,10,walk
29,msk,45000000,87.0,17.400000000000002,43.5,3,1,4,1,brick,0,0,0,1,Евро,1,10,walk
30,msk,303725598,147.05,29.410000000000004,73.525,2,2,14,0,monolithBrick,0,0,0,0,Евро,1,10,walk
31,msk,400000000,201.6,48.3,100.8,5,1,9,1,monolith,0,0,0,1,Евро,0,0,NO
32,msk,226656499,223.3,20.0,111.65,3,39,65,1,monolithBrick,0,1,1,1,Евро,1,10,walk
33,msk,30047200,58.8,29.0,29.4,1,2,9,1,brick,0,0,1,1,Евро,1,10,walk
34,msk,180468421,201.7,40.34,100.85,2,3,5,1,monolith,0,3,0,0,Евро,1,10,walk
35,msk,209000000,135.08,20.3,73.0,3,5,12,0,monolithBrick,0,0,0,1,Евро,1,10,walk
36,msk,101639382,105.2,21.040000000000003,52.6,2,1,7,1,monolithBrick,0,4,1,0,Евро,1,10,walk
37,msk,24700000,44.1,8.82,22.05,1,1,14,0,monolith,0,0,0,1,Евро,0,0,NO
38,msk,106945102,112.8,22.560000000000002,56.4,2,2,7,1,monolithBrick,0,4,1,0,Евро,1,10,walk
39,msk,148000000,125.3,10.0,62.65,3,6,14,1,monolith,0,11,0,1,Евро,1,10,walk
40,msk,239340000,76.6,32.9,23.1,1,4,6,0,monolith,2,1,0,0,Евро,1,10,walk
41,msk,78000000,127.1,8.3,83.2,5,8,14,0,monolith,0,0,0,1,Евро,0,0,NO
42,msk,217970000,120.3,37.0,35.8,2,3,6,0,monolith,1,1,0,0,Евро,1,10,walk
43,msk,250000000,201.14,40.228,100.57,5,12,14,0,monolithBrick,0,0,0,1,Евро,1,10,walk
44,msk,150400000,178.6,35.72,89.3,2,3,5,1,monolith,0,3,0,0,Евро,1,10,walk
45,msk,375000000,162.9,17.0,98.0,3,4,8,0,monolithBrick,1,2,0,1,Евро,1,10,walk
47,msk,180000000,170.0,13.0,108.5,3,4,6,0,monolithBrick,0,1,0,1,Евро,1,10,walk
48,msk,28800483,69.7,13.940000000000001,34.85,2,2,23,1,monolith,0,1,0,0,Евро,1,10,walk
49,msk,290000000,201.6,20.0,133.0,4,4,8,0,monolith,0,0,0,1,Евро,1,10,walk
50,msk,29053268,39.6,7.920000000000001,19.8,1,20,37,0,monolith,0,2,0,0,Евро,1,10,walk
51,msk,220000000,199.32,39.864000000000004,99.66,5,10,16,0,monolithBrick,0,0,0,1,Евро,1,10,walk
52,msk,60173080,73.02,14.604,36.51,2,4,20,0,monolithBrick,0,2,1,0,Евро,1,10,walk
53,msk,210000000,225.0,39.2,131.8,6,14,20,0,monolith,0,0,0,1,Евро,1,10,walk
54,msk,18707580,38.7,18.2,12.0,2,10,27,0,monolith,0,1,0,0,Евро,1,10,walk
56,msk,290120319,154.2,15.0,94.7,3,3,7,0,monolith,0,0,0,1,Евро,1,10,walk
57,msk,29472752,57.2,11.440000000000001,23.3,2,14,27,1,monolithBrick,0,0,0,0,Евро,1,10,walk
58,msk,364800000,228.0,45.6,114.0,5,6,12,0,monolithBrick,0,0,0,1,Евро,1,10,walk
59,msk,47810000,53.1,19.7,28.4,2,2,23,0,monolith,0,1,0,0,Евро,1,10,walk
60,msk,36230000,69.0,22.5,24.6,2,7,14,1,monolith,0,1,0,0,Евро,1,10,walk
